,Unnamed: 0,Z,X,Y,Unnamed: 0.1
0,0,670,-73.14375,7.24791666667,
1,1,710,-73.14375,7.24375,
2,2,769,-73.1395833333,7.23125,
3,3,782,-73.1395833333,7.22708333333,
4,4,713,-73.1395833333,7.22291666667,
5,5,933,-73.1354166667,7.21041666667,
6,6,968,-73.1354166667,7.20625,
7,7,960,-73.1354166667,7.20208333333,
8,8,802,-73.13125,7.20208333333,
9,9,903,-73.1354166667,7.19791666667,
10,10,792,-73.13125,7.19791666667,
11,11,869,-73.1354166667,7.19375,
12,12,752,-73.13125,7.19375,
13,13,735,-73.13125,7.18958333333,
14,14,745,-73.13125,7.18541666667,
15,15,796,-73.13125,7.18125,
16,16,810,-73.1270833333,7.18125,
17,17,780,-73.1354166667,7.17708333333,
18,18,818,-73.13125,7.17708333333,
19,19,822,-73.1270833333,7.17708333333,
20,20,809,-73.13125,7.17291666667,
21,21,823,-73.1270833333,7.17291666667,
22,22,846,-73.1229166667,7.17291666667,
23,23,773,-73.13125,7.16875,
24,24,777,-73.1270833333,7.16875,
25,25,831,-73.1229166667,7.16875,
26,26,716,-73.13125,7.16458333333,
27,27,734,-73.1270833333,7.16458333333,
28,28,803,-73.1229166667,7.16458333333,
29,29,661,-73.13125,7.16041666667,
30,30,710,-73.1270833333,7.16041666667,
31,31,749,-73.1229166667,7.16041666667,
32,32,677,-73.1270833333,7.15625,
33,33,702,-73.1229166667,7.15625,
34,34,770,-73.11875,7.15625,
35,35,705,-73.11875,7.15208333333,
0,0,670,-73.14375,7.24791666667,0.0
1,1,710,-73.14375,7.24375,1.0
2,2,769,-73.1395833333,7.23125,2.0
3,3,782,-73.1395833333,7.22708333333,3.0
4,4,713,-73.1395833333,7.22291666667,4.0
5,5,933,-73.1354166667,7.21041666667,5.0
6,6,968,-73.1354166667,7.20625,6.0
7,7,960,-73.1354166667,7.20208333333,7.0
8,8,802,-73.13125,7.20208333333,8.0
9,9,903,-73.1354166667,7.19791666667,9.0
10,10,792,-73.13125,7.19791666667,10.0
11,11,869,-73.1354166667,7.19375,11.0
12,12,752,-73.13125,7.19375,12.0
13,13,735,-73.13125,7.18958333333,13.0
14,14,745,-73.13125,7.18541666667,14.0
15,15,796,-73.13125,7.18125,15.0
16,16,810,-73.1270833333,7.18125,16.0
17,17,780,-73.1354166667,7.17708333333,17.0
18,18,818,-73.13125,7.17708333333,18.0
19,19,822,-73.1270833333,7.17708333333,19.0
20,20,809,-73.13125,7.17291666667,20.0
21,21,823,-73.1270833333,7.17291666667,21.0
22,22,846,-73.1229166667,7.17291666667,22.0
23,23,773,-73.13125,7.16875,23.0
24,24,777,-73.1270833333,7.16875,24.0
25,25,831,-73.1229166667,7.16875,25.0
26,26,716,-73.13125,7.16458333333,26.0
27,27,734,-73.1270833333,7.16458333333,27.0
28,28,803,-73.1229166667,7.16458333333,28.0
29,29,661,-73.13125,7.16041666667,29.0
30,30,710,-73.1270833333,7.16041666667,30.0
31,31,749,-73.1229166667,7.16041666667,31.0
32,32,677,-73.1270833333,7.15625,32.0
33,33,702,-73.1229166667,7.15625,33.0
34,34,770,-73.11875,7.15625,34.0
35,35,705,-73.11875,7.15208333333,35.0
