,Unnamed: 0,Z,X,Y,Unnamed: 0.1
0,0,246,-74.1854166667,8.56875,
1,1,197,-74.18125,8.56458333333,
2,2,162,-74.1770833333,8.56041666667,
3,3,138,-74.1729166667,8.56041666667,
4,4,144,-74.1729166667,8.55625,
5,5,126,-74.16875,8.55625,
6,6,76,-74.1645833333,8.55208333333,
0,0,37,-74.19375,8.66041666667,
1,1,26,-74.19375,8.65625,
2,2,30,-74.1895833333,8.65625,
3,3,45,-74.1854166667,8.65625,
4,4,34,-74.19375,8.65208333333,
5,5,71,-74.1895833333,8.65208333333,
6,6,71,-74.1854166667,8.65208333333,
7,7,27,-74.2395833333,8.64791666667,
8,8,38,-74.1979166667,8.64791666667,
9,9,83,-74.19375,8.64791666667,
10,10,136,-74.1895833333,8.64791666667,
11,11,31,-74.2479166667,8.64375,
12,12,23,-74.24375,8.64375,
13,13,36,-74.2395833333,8.64375,
14,14,30,-74.2145833333,8.64375,
15,15,27,-74.2104166667,8.64375,
16,16,22,-74.20625,8.64375,
17,17,30,-74.2020833333,8.64375,
18,18,71,-74.1979166667,8.64375,
19,19,186,-74.19375,8.64375,
20,20,142,-74.1895833333,8.64375,
21,21,42,-74.2520833333,8.63958333333,
22,22,108,-74.2479166667,8.63958333333,
23,23,53,-74.24375,8.63958333333,
24,24,40,-74.2395833333,8.63958333333,
25,25,71,-74.2145833333,8.63958333333,
26,26,62,-74.2104166667,8.63958333333,
27,27,47,-74.20625,8.63958333333,
28,28,49,-74.2020833333,8.63958333333,
29,29,120,-74.1979166667,8.63958333333,
30,30,191,-74.19375,8.63958333333,
31,31,32,-74.2520833333,8.63541666667,
32,32,80,-74.2479166667,8.63541666667,
33,33,39,-74.24375,8.63541666667,
34,34,83,-74.2395833333,8.63541666667,
35,35,35,-74.2354166667,8.63541666667,
36,36,106,-74.2145833333,8.63541666667,
37,37,113,-74.2104166667,8.63541666667,
38,38,111,-74.20625,8.63541666667,
39,39,103,-74.2020833333,8.63541666667,
40,40,71,-74.2854166667,8.63125,
41,41,98,-74.28125,8.63125,
42,42,134,-74.2770833333,8.63125,
43,43,74,-74.2729166667,8.63125,
44,44,28,-74.2395833333,8.63125,
45,45,101,-74.2145833333,8.63125,
46,46,182,-74.2104166667,8.63125,
47,47,166,-74.20625,8.63125,
48,48,116,-74.2020833333,8.63125,
49,49,50,-74.2854166667,8.62708333333,
50,50,135,-74.28125,8.62708333333,
51,51,119,-74.2770833333,8.62708333333,
52,52,65,-74.2729166667,8.62708333333,
53,53,39,-74.21875,8.62708333333,
54,54,100,-74.2145833333,8.62708333333,
55,55,157,-74.2104166667,8.62708333333,
56,56,128,-74.20625,8.62708333333,
57,57,87,-74.2020833333,8.62708333333,
58,58,47,-74.2729166667,8.62291666667,
59,59,93,-74.26875,8.62291666667,
60,60,68,-74.2645833333,8.62291666667,
61,61,44,-74.2604166667,8.62291666667,
62,62,64,-74.2395833333,8.62291666667,
63,63,89,-74.2354166667,8.62291666667,
64,64,43,-74.23125,8.62291666667,
65,65,89,-74.21875,8.62291666667,
66,66,147,-74.2145833333,8.62291666667,
67,67,146,-74.2104166667,8.62291666667,
68,68,94,-74.20625,8.62291666667,
69,69,71,-74.2020833333,8.62291666667,
70,70,51,-74.2770833333,8.61875,
71,71,103,-74.2729166667,8.61875,
72,72,133,-74.26875,8.61875,
73,73,102,-74.2645833333,8.61875,
74,74,51,-74.2604166667,8.61875,
75,75,86,-74.2520833333,8.61875,
76,76,45,-74.2479166667,8.61875,
77,77,29,-74.24375,8.61875,
78,78,89,-74.2395833333,8.61875,
79,79,189,-74.2354166667,8.61875,
80,80,141,-74.23125,8.61875,
81,81,142,-74.2270833333,8.61875,
82,82,172,-74.2229166667,8.61875,
83,83,200,-74.21875,8.61875,
84,84,183,-74.2145833333,8.61875,
85,85,111,-74.2104166667,8.61875,
86,86,57,-74.20625,8.61875,
87,87,24,-74.28125,8.61458333333,
88,88,71,-74.2770833333,8.61458333333,
89,89,98,-74.2729166667,8.61458333333,
90,90,109,-74.25625,8.61458333333,
91,91,166,-74.2520833333,8.61458333333,
92,92,77,-74.2479166667,8.61458333333,
93,93,59,-74.24375,8.61458333333,
94,94,83,-74.2395833333,8.61458333333,
95,95,196,-74.2354166667,8.61458333333,
96,96,206,-74.23125,8.61458333333,
97,97,191,-74.2270833333,8.61458333333,
98,98,193,-74.2229166667,8.61458333333,
99,99,200,-74.21875,8.61458333333,
100,100,148,-74.2145833333,8.61458333333,
101,101,69,-74.2104166667,8.61458333333,
102,102,31,-74.2854166667,8.61041666667,
103,103,79,-74.28125,8.61041666667,
104,104,165,-74.26875,8.61041666667,
105,105,240,-74.2645833333,8.61041666667,
106,106,212,-74.2604166667,8.61041666667,
107,107,262,-74.25625,8.61041666667,
108,108,258,-74.2520833333,8.61041666667,
109,109,147,-74.2479166667,8.61041666667,
110,110,116,-74.24375,8.61041666667,
111,111,54,-74.2395833333,8.61041666667,
112,112,91,-74.2354166667,8.61041666667,
113,113,122,-74.23125,8.61041666667,
114,114,158,-74.2270833333,8.61041666667,
115,115,110,-74.2229166667,8.61041666667,
116,116,97,-74.21875,8.61041666667,
117,117,64,-74.2854166667,8.60625,
118,118,125,-74.26875,8.60625,
119,119,247,-74.2645833333,8.60625,
120,120,262,-74.2604166667,8.60625,
121,121,300,-74.25625,8.60625,
122,122,281,-74.2520833333,8.60625,
123,123,161,-74.2479166667,8.60625,
124,124,92,-74.24375,8.60625,
125,125,42,-74.2354166667,8.60625,
126,126,59,-74.23125,8.60625,
127,127,63,-74.2270833333,8.60625,
128,128,44,-74.2229166667,8.60625,
129,129,87,-74.2645833333,8.60208333333,
130,130,66,-74.2604166667,8.60208333333,
131,131,87,-74.25625,8.60208333333,
132,132,91,-74.2520833333,8.60208333333,
133,133,66,-74.2479166667,8.60208333333,
134,134,61,-74.24375,8.60208333333,
0,0,246,-74.1854166667,8.56875,0.0
1,1,197,-74.18125,8.56458333333,1.0
2,2,162,-74.1770833333,8.56041666667,2.0
