,Unnamed: 0,Z,X,Y,Unnamed: 0.1
0,0,2444,-73.06875,7.96458333333,
1,1,2503,-73.0729166667,7.95625,
2,2,2562,-73.06875,7.95625,
3,3,2586,-73.06875,7.95208333333,
4,4,2646,-73.0520833333,7.95208333333,
5,5,2615,-73.06875,7.94791666667,
6,6,2652,-73.0645833333,7.94791666667,
7,7,2699,-73.0604166667,7.94791666667,
8,8,2572,-73.0479166667,7.94791666667,
9,9,2732,-73.06875,7.94375,
10,10,2549,-73.04375,7.94375,
11,11,2823,-73.0354166667,7.93958333333,
12,12,2567,-73.06875,7.93541666667,
13,13,2499,-73.06875,7.92708333333,
14,14,2472,-73.0729166667,7.92291666667,
15,15,2507,-73.0604166667,7.92291666667,
16,16,2830,-73.0354166667,7.92291666667,
17,17,2770,-73.0229166667,7.92291666667,
18,18,2507,-73.0729166667,7.91875,
19,19,2727,-73.0520833333,7.91875,
20,20,2893,-73.0354166667,7.91875,
21,21,2881,-73.01875,7.91875,
22,22,2824,-73.0145833333,7.91875,
23,23,2460,-73.0729166667,7.91458333333,
24,24,2758,-73.0520833333,7.91458333333,
25,25,2818,-73.0145833333,7.91458333333,
26,26,2934,-73.0479166667,7.91041666667,
27,27,2982,-73.04375,7.90208333333,
28,28,2812,-73.0145833333,7.90208333333,
29,29,3019,-73.0395833333,7.89791666667,
30,30,3043,-73.04375,7.89375,
31,31,3056,-73.0395833333,7.89375,
32,32,2974,-73.0354166667,7.89375,
33,33,2779,-73.0145833333,7.89375,
34,34,3130,-73.04375,7.88958333333,
35,35,3077,-73.0395833333,7.88958333333,
36,36,2983,-73.0354166667,7.88958333333,
37,37,2897,-73.03125,7.88958333333,
38,38,2793,-73.0229166667,7.88958333333,
39,39,2751,-73.01875,7.88958333333,
40,40,3057,-73.0395833333,7.88541666667,
41,41,2995,-73.0354166667,7.88541666667,
42,42,2934,-73.03125,7.88541666667,
43,43,2765,-73.0229166667,7.88541666667,
44,44,3125,-73.0395833333,7.88125,
45,45,3038,-73.0354166667,7.88125,
46,46,2953,-73.03125,7.88125,
47,47,2874,-73.0270833333,7.88125,
48,48,2755,-73.0229166667,7.88125,
49,49,3035,-73.0354166667,7.87708333333,
50,50,2989,-73.03125,7.87708333333,
51,51,2914,-73.0270833333,7.87708333333,
52,52,2782,-73.0229166667,7.87708333333,
53,53,3113,-73.0354166667,7.87291666667,
54,54,3065,-73.03125,7.87291666667,
55,55,2982,-73.0270833333,7.87291666667,
56,56,2886,-73.0229166667,7.87291666667,
57,57,3170,-73.03125,7.86875,
58,58,3076,-73.0270833333,7.86875,
59,59,3022,-73.0229166667,7.86875,
60,60,2928,-73.01875,7.86875,
61,61,2738,-73.0145833333,7.86875,
62,62,3109,-73.0270833333,7.86458333333,
63,63,3050,-73.0270833333,7.86041666667,
64,64,3017,-73.0270833333,7.85625,
65,65,3038,-73.0229166667,7.85625,
66,66,3021,-73.0270833333,7.85208333333,
67,67,3007,-73.0270833333,7.84791666667,
68,68,3483,-73.0145833333,7.78958333333,
69,69,3423,-73.01875,7.78541666667,
70,70,3276,-73.0229166667,7.78125,
71,71,3423,-73.01875,7.78125,
72,72,3088,-73.0270833333,7.77708333333,
73,73,3247,-73.0229166667,7.77708333333,
74,74,3404,-73.01875,7.77708333333,
75,75,3498,-73.0145833333,7.77708333333,
76,76,2896,-73.03125,7.77291666667,
77,77,3031,-73.0270833333,7.77291666667,
78,78,3194,-73.0229166667,7.77291666667,
79,79,3359,-73.01875,7.77291666667,
80,80,3480,-73.0145833333,7.77291666667,
81,81,2870,-73.03125,7.76875,
82,82,3037,-73.0270833333,7.76875,
83,83,3210,-73.0229166667,7.76875,
84,84,3339,-73.01875,7.76875,
85,85,2932,-73.03125,7.76458333333,
86,86,3017,-73.0270833333,7.76458333333,
87,87,3165,-73.0229166667,7.76458333333,
88,88,2794,-73.03125,7.76041666667,
89,89,2928,-73.0270833333,7.76041666667,
90,90,2633,-73.03125,7.75625,
91,91,2442,-73.0354166667,7.75208333333,
92,92,2445,-73.03125,7.75208333333,
93,93,2271,-73.0354166667,7.74791666667,
94,94,2326,-73.0354166667,7.74375,
95,95,2543,-73.03125,7.73958333333,
96,96,2443,-73.03125,7.73541666667,
97,97,2280,-73.03125,7.72708333333,
98,98,2706,-73.0104166667,7.91458333333,
99,99,2775,-73.0104166667,7.90625,
100,100,2853,-73.0104166667,7.86875,
101,101,3012,-73.00625,7.86875,
102,102,3146,-73.00625,7.85208333333,
103,103,3187,-73.00625,7.84791666667,
104,104,3440,-73.00625,7.81458333333,
105,105,3469,-73.00625,7.80208333333,
106,106,3494,-73.00625,7.79791666667,
107,107,3489,-73.0104166667,7.79375,
108,108,3495,-73.00625,7.79375,
109,109,3514,-73.0104166667,7.78958333333,
0,0,337,-73.5395833333,8.96041666667,
1,1,426,-73.5354166667,8.96041666667,
2,2,403,-73.53125,8.96041666667,
3,3,477,-73.5270833333,8.96041666667,
4,4,635,-73.5229166667,8.96041666667,
5,5,765,-73.51875,8.96041666667,
