OBJECTID;DEM_RÍO_MAGDALENA_tif;X;Y;DEM_RÍO_MAGDALENA_Band_1
1;68;-73,939583333333218;7,197916666666581;68,0000000
2;68;-73,943749999999895;7,193749999999914;68,0000000
3;68;-73,939583333333218;7,193749999999914;68,0000000
4;68;-73,943749999999895;7,189583333333247;68,0000000
5;68;-73,939583333333218;7,189583333333247;68,0000000
6;69;-73,943749999999895;7,185416666666581;69,0000000
7;67;-73,939583333333218;7,185416666666581;67,0000000
8;69;-73,943749999999895;7,181249999999914;69,0000000
9;66;-73,939583333333218;7,181249999999914;66,0000000
10;66;-73,939583333333218;7,177083333333247;66,0000000
11;67;-73,943749999999895;7,172916666666580;67,0000000
12;66;-73,939583333333218;7,168749999999914;66,0000000
13;75;-73,947916666666558;6,956249999999913;75,0000000
14;72;-73,943749999999895;6,956249999999913;72,0000000
15;73;-73,939583333333218;6,956249999999913;73,0000000
16;73;-73,952083333333221;6,952083333333246;73,0000000
17;74;-73,947916666666558;6,952083333333246;74,0000000
18;76;-73,943749999999895;6,952083333333246;76,0000000
19;76;-73,939583333333218;6,952083333333246;76,0000000
20;75;-73,960416666666561;6,947916666666579;75,0000000
21;72;-73,956249999999883;6,947916666666579;72,0000000
22;75;-73,952083333333221;6,947916666666579;75,0000000
23;80;-73,947916666666558;6,947916666666579;80,0000000
24;78;-73,972916666666563;6,943749999999913;78,0000000
25;75;-73,968749999999886;6,943749999999913;75,0000000
26;73;-73,964583333333223;6,943749999999913;73,0000000
27;75;-73,960416666666561;6,943749999999913;75,0000000
28;75;-73,956249999999883;6,943749999999913;75,0000000
29;77;-73,985416666666552;6,939583333333246;77,0000000
30;77;-73,977083333333226;6,939583333333246;77,0000000
31;75;-73,972916666666563;6,939583333333246;75,0000000
32;74;-73,968749999999886;6,939583333333246;74,0000000
33;77;-73,964583333333223;6,939583333333246;77,0000000
34;77;-73,960416666666561;6,939583333333246;77,0000000
35;77;-73,989583333333229;6,935416666666580;77,0000000
36;75;-73,981249999999889;6,935416666666580;75,0000000
37;76;-73,968749999999886;6,935416666666580;76,0000000
38;79;-73,964583333333223;6,935416666666580;79,0000000
39;77;-73,997916666666555;6,931249999999913;77,0000000
