Rowid,Z,X,Y,DRENAJE
1,86,-73.7020833333,7.25208333333,Caño El Estanco
2,85,-73.7020833333,7.24791666667,Caño El Estanco
3,85,-73.7020833333,7.24375,Caño El Estanco
4,86,-73.69375,7.23541666667,Caño El Estanco
5,88,-73.6854166667,7.23541666667,Caño El Estanco
6,88,-73.68125,7.22708333333,Caño El Estanco
7,88,-73.6729166667,7.22708333333,Caño El Estanco
8,89,-73.66875,7.22708333333,Caño El Estanco
1,87,-74.10625,6.76041666667,Río Carare
2,87,-74.10625,6.75208333333,Río Carare
3,87,-74.1145833333,6.74375,Río Carare
4,86,-74.0979166667,6.74375,Río Carare
5,87,-74.10625,6.73541666667,Río Carare
6,87,-74.0979166667,6.73541666667,Río Carare
7,86,-74.09375,6.73541666667,Río Carare
8,87,-74.1020833333,6.71875,Río Carare
9,87,-74.1020833333,6.71458333333,Río Carare
10,90,-74.0979166667,6.70208333333,Río Carare
11,90,-74.0979166667,6.69791666667,Río Carare
12,89,-74.0895833333,6.69375,Río Carare
13,91,-74.0895833333,6.68958333333,Río Carare
14,92,-74.09375,6.66458333333,Río Carare
15,92,-74.09375,6.66041666667,Río Carare
16,91,-74.09375,6.65625,Río Carare
17,94,-74.06875,6.65625,Río Carare
18,92,-74.09375,6.65208333333,Río Carare
19,93,-74.0895833333,6.65208333333,Río Carare
20,98,-74.09375,6.64791666667,Río Carare
21,94,-74.0645833333,6.62291666667,Río Carare
22,94,-74.0770833333,6.61875,Río Carare
23,94,-74.06875,6.61875,Río Carare
24,96,-74.0770833333,6.61458333333,Río Carare
25,95,-74.0729166667,6.61458333333,Río Carare
26,94,-74.0729166667,6.60208333333,Río Carare
27,98,-74.0729166667,6.59791666667,Río Carare
28,96,-74.0770833333,6.59375,Río Carare
29,93,-74.0770833333,6.58958333333,Río Carare
30,95,-74.0770833333,6.58541666667,Río Carare
31,99,-74.0895833333,6.58125,Río Carare
32,98,-74.0979166667,6.57291666667,Río Carare
33,98,-74.09375,6.57291666667,Río Carare
34,96,-74.1020833333,6.56875,Río Carare
35,98,-74.1020833333,6.54791666667,Río Carare
36,99,-74.1020833333,6.54375,Río Carare
37,101,-74.1020833333,6.53125,Río Carare
38,101,-74.0979166667,6.52708333333,Río Carare
39,100,-74.0854166667,6.52291666667,Río Carare
40,100,-74.0979166667,6.50625,Río Carare
1,45,-73.8604166667,7.95625,Brazo El Garzal
2,45,-73.86875,7.94375,Brazo El Garzal
1,26,-73.9645833333,8.96041666667,Caño Castañal
2,26,-73.96875,8.97291666667,Caño Castañal
3,28,-73.96875,8.96875,Caño Castañal
1,26,-73.9729166667,8.93125,Caño Solera
2,25,-73.9479166667,8.90625,Caño Solera
3,26,-73.9395833333,8.88958333333,Caño Solera
4,27,-73.9354166667,8.88541666667,Caño Solera
5,32,-73.93125,8.88125,Caño Solera
6,26,-73.9270833333,8.87291666667,Caño Solera
7,26,-73.9229166667,8.86875,Caño Solera
8,28,-73.9104166667,8.86041666667,Caño Solera
9,28,-73.8895833333,8.83541666667,Caño Solera
10,28,-73.8895833333,8.83125,Caño Solera
1,26,-73.9854166667,8.94791666667,Brazo Papayal
2,27,-73.9770833333,8.93125,Brazo Papayal
3,27,-73.9729166667,8.92291666667,Brazo Papayal
4,27,-73.9729166667,8.91458333333,Brazo Papayal
5,28,-73.96875,8.89375,Brazo Papayal
6,30,-73.9520833333,8.85208333333,Brazo Papayal
7,31,-73.95625,8.83541666667,Brazo Papayal
8,30,-73.96875,8.83125,Brazo Papayal
9,30,-73.95625,8.83125,Brazo Papayal
10,30,-73.9645833333,8.81041666667,Brazo Papayal
11,32,-73.9520833333,8.79791666667,Brazo Papayal
12,33,-73.9479166667,8.79375,Brazo Papayal
13,33,-73.94375,8.72291666667,Brazo Papayal
14,35,-73.9145833333,8.68958333333,Brazo Papayal
15,34,-73.9104166667,8.67291666667,Brazo Papayal
16,34,-73.89375,8.63958333333,Brazo Papayal
17,34,-73.89375,8.63541666667,Brazo Papayal
18,34,-73.89375,8.63125,Brazo Papayal
19,35,-73.8895833333,8.62708333333,Brazo Papayal
20,36,-73.88125,8.61458333333,Brazo Papayal
21,36,-73.88125,8.60208333333,Brazo Papayal
22,36,-73.88125,8.59791666667,Brazo Papayal
23,37,-73.8770833333,8.58958333333,Brazo Papayal
1,28,-73.94375,8.83958333333,Caño Los Caimanes
1,31,-73.89375,8.73541666667,Caño Elvira
2,31,-73.8854166667,8.73541666667,Caño Elvira
3,31,-73.9104166667,8.73125,Caño Elvira
4,31,-73.88125,8.73125,Caño Elvira
5,31,-73.91875,8.72708333333,Caño Elvira
6,32,-73.8770833333,8.71041666667,Caño Elvira
7,31,-73.8729166667,8.71041666667,Caño Elvira
8,31,-73.8895833333,8.70625,Caño Elvira
9,32,-73.8895833333,8.70208333333,Caño Elvira
10,33,-73.8979166667,8.67708333333,Caño Elvira
11,33,-73.88125,8.67708333333,Caño Elvira
1,44,-73.8729166667,8.13958333333,Brazo de Morales
2,44,-73.8729166667,8.13541666667,Brazo de Morales
3,44,-73.88125,8.11875,Brazo de Morales
4,31,-73.8270833333,8.66041666667,Brazo de Morales
5,29,-73.8270833333,8.65625,Brazo de Morales
6,33,-73.8229166667,8.65625,Brazo de Morales
7,29,-73.8270833333,8.65208333333,Brazo de Morales
8,33,-73.8229166667,8.65208333333,Brazo de Morales
9,28,-73.8270833333,8.64791666667,Brazo de Morales
10,29,-73.8229166667,8.64791666667,Brazo de Morales
11,29,-73.8270833333,8.64375,Brazo de Morales
12,34,-73.83125,8.63958333333,Brazo de Morales
13,31,-73.8270833333,8.63958333333,Brazo de Morales
14,31,-73.83125,8.63541666667,Brazo de Morales
15,32,-73.83125,8.63125,Brazo de Morales
16,33,-73.83125,8.62708333333,Brazo de Morales
17,33,-73.83125,8.62291666667,Brazo de Morales
18,33,-73.8270833333,8.62291666667,Brazo de Morales
19,35,-73.83125,8.61875,Brazo de Morales
20,33,-73.8270833333,8.61875,Brazo de Morales
21,33,-73.8270833333,8.61458333333,Brazo de Morales
22,34,-73.8229166667,8.61041666667,Brazo de Morales
23,34,-73.8229166667,8.60625,Brazo de Morales
24,33,-73.8229166667,8.60208333333,Brazo de Morales
25,35,-73.8395833333,8.58541666667,Brazo de Morales
26,34,-73.8270833333,8.58541666667,Brazo de Morales
27,34,-73.8229166667,8.58541666667,Brazo de Morales
28,34,-73.8520833333,8.57708333333,Brazo de Morales
29,34,-73.85625,8.57291666667,Brazo de Morales
30,34,-73.8604166667,8.56875,Brazo de Morales
31,34,-73.8604166667,8.56458333333,Brazo de Morales
32,35,-73.8604166667,8.56041666667,Brazo de Morales
33,35,-73.8604166667,8.54375,Brazo de Morales
34,34,-73.8645833333,8.53958333333,Brazo de Morales
35,35,-73.88125,8.53541666667,Brazo de Morales
36,34,-73.8854166667,8.53125,Brazo de Morales
37,33,-73.8854166667,8.52708333333,Brazo de Morales
38,35,-73.8854166667,8.52291666667,Brazo de Morales
39,36,-73.8854166667,8.51875,Brazo de Morales
40,35,-73.8854166667,8.51458333333,Brazo de Morales
41,34,-73.8854166667,8.51041666667,Brazo de Morales
42,34,-73.8854166667,8.50625,Brazo de Morales
43,35,-73.8854166667,8.50208333333,Brazo de Morales
44,37,-73.88125,8.50208333333,Brazo de Morales
45,35,-73.8854166667,8.49791666667,Brazo de Morales
46,37,-73.88125,8.49791666667,Brazo de Morales
47,35,-73.8854166667,8.49375,Brazo de Morales
48,37,-73.88125,8.49375,Brazo de Morales
49,37,-73.8854166667,8.48958333333,Brazo de Morales
50,35,-73.88125,8.48958333333,Brazo de Morales
51,35,-73.88125,8.48541666667,Brazo de Morales
52,35,-73.88125,8.48125,Brazo de Morales
53,35,-73.88125,8.47708333333,Brazo de Morales
54,36,-73.88125,8.47291666667,Brazo de Morales
55,35,-73.88125,8.46875,Brazo de Morales
56,35,-73.88125,8.46458333333,Brazo de Morales
57,35,-73.88125,8.46041666667,Brazo de Morales
58,34,-73.88125,8.45625,Brazo de Morales
59,34,-73.88125,8.45208333333,Brazo de Morales
60,35,-73.8854166667,8.44791666667,Brazo de Morales
61,36,-73.88125,8.44791666667,Brazo de Morales
62,35,-73.88125,8.43958333333,Brazo de Morales
63,35,-73.88125,8.43541666667,Brazo de Morales
64,37,-73.88125,8.43125,Brazo de Morales
65,36,-73.8770833333,8.43125,Brazo de Morales
66,35,-73.8729166667,8.41875,Brazo de Morales
67,35,-73.8729166667,8.41458333333,Brazo de Morales
68,34,-73.8729166667,8.41041666667,Brazo de Morales
69,34,-73.8729166667,8.40625,Brazo de Morales
70,35,-73.8770833333,8.39791666667,Brazo de Morales
71,35,-73.8729166667,8.37708333333,Brazo de Morales
72,34,-73.86875,8.36458333333,Brazo de Morales
73,34,-73.8729166667,8.35625,Brazo de Morales
74,34,-73.86875,8.35625,Brazo de Morales
75,35,-73.8729166667,8.35208333333,Brazo de Morales
76,35,-73.8729166667,8.34791666667,Brazo de Morales
77,36,-73.8729166667,8.34375,Brazo de Morales
78,35,-73.8729166667,8.33958333333,Brazo de Morales
79,34,-73.86875,8.33541666667,Brazo de Morales
80,35,-73.86875,8.33125,Brazo de Morales
81,35,-73.86875,8.32708333333,Brazo de Morales
82,36,-73.86875,8.32291666667,Brazo de Morales
83,35,-73.8645833333,8.31458333333,Brazo de Morales
84,35,-73.86875,8.31041666667,Brazo de Morales
85,35,-73.8645833333,8.31041666667,Brazo de Morales
86,35,-73.8645833333,8.30625,Brazo de Morales
87,36,-73.8645833333,8.30208333333,Brazo de Morales
88,36,-73.8645833333,8.29791666667,Brazo de Morales
89,35,-73.86875,8.29375,Brazo de Morales
90,36,-73.8729166667,8.28125,Brazo de Morales
91,36,-73.8729166667,8.27708333333,Brazo de Morales
92,36,-73.86875,8.26875,Brazo de Morales
93,35,-73.86875,8.26458333333,Brazo de Morales
94,36,-73.86875,8.26041666667,Brazo de Morales
95,40,-73.8604166667,8.25208333333,Brazo de Morales
96,41,-73.8604166667,8.24375,Brazo de Morales
97,43,-73.8729166667,8.14791666667,Brazo de Morales
1,34,-73.8270833333,8.59791666667,Brazo de Río Viejo
2,34,-73.83125,8.58958333333,Brazo de Río Viejo
1,37,-73.83125,8.58125,Brazuelo El Dique
2,38,-73.8270833333,8.56458333333,Brazuelo El Dique
3,37,-73.8229166667,8.55208333333,Brazuelo El Dique
4,37,-73.8229166667,8.54791666667,Brazuelo El Dique
5,37,-73.8270833333,8.53125,Brazuelo El Dique
6,38,-73.79375,8.49375,Brazuelo El Dique
7,37,-73.7979166667,8.48125,Brazuelo El Dique
8,38,-73.80625,8.47708333333,Brazuelo El Dique
9,38,-73.80625,8.47291666667,Brazuelo El Dique
10,38,-73.8020833333,8.46875,Brazuelo El Dique
11,38,-73.7979166667,8.46458333333,Brazuelo El Dique
12,37,-73.8020833333,8.45208333333,Brazuelo El Dique
13,39,-73.8145833333,8.44375,Brazuelo El Dique
14,38,-73.7854166667,8.41875,Brazuelo El Dique
15,38,-73.78125,8.41875,Brazuelo El Dique
16,39,-73.80625,8.41458333333,Brazuelo El Dique
17,38,-73.79375,8.41041666667,Brazuelo El Dique
18,39,-73.78125,8.41041666667,Brazuelo El Dique
19,39,-73.78125,8.40625,Brazuelo El Dique
20,38,-73.7770833333,8.39375,Brazuelo El Dique
21,38,-73.78125,8.37291666667,Brazuelo El Dique
22,38,-73.7854166667,8.36041666667,Brazuelo El Dique
23,38,-73.7854166667,8.35625,Brazuelo El Dique
24,40,-73.78125,8.35208333333,Brazuelo El Dique
25,39,-73.7895833333,8.33958333333,Brazuelo El Dique
26,40,-73.7854166667,8.33958333333,Brazuelo El Dique
27,40,-73.78125,8.31875,Brazuelo El Dique
28,39,-73.7770833333,8.31041666667,Brazuelo El Dique
29,41,-73.7729166667,8.29375,Brazuelo El Dique
30,40,-73.7729166667,8.28125,Brazuelo El Dique
31,41,-73.76875,8.25625,Brazuelo El Dique
1,59,-73.98125,7.39791666667,Caño Sepultura
2,59,-73.9770833333,7.36458333333,Caño Sepultura
3,62,-73.98125,7.33541666667,Caño Sepultura
1,54,-74.0479166667,8.73958333333,Quebrada de Mejía
2,69,-74.0270833333,8.73958333333,Quebrada de Mejía
3,53,-74.0520833333,8.73541666667,Quebrada de Mejía
1,206,-73.55625,8.94375,Quebrada Honda
2,171,-73.5645833333,8.93958333333,Quebrada Honda
3,195,-73.56875,8.93541666667,Quebrada Honda
4,431,-73.5270833333,8.96458333333,Quebrada Honda
1,55,-73.6854166667,8.86041666667,Quebrada La Floresta
2,89,-73.6479166667,8.85625,Quebrada La Floresta
3,68,-73.6854166667,8.84791666667,Quebrada La Floresta
4,74,-73.6645833333,8.84791666667,Quebrada La Floresta
5,67,-73.6770833333,8.83958333333,Quebrada La Floresta
1,70,-73.9645833333,7.11875,Brazuelo Canime
2,71,-73.95625,7.11875,Brazuelo Canime
3,72,-73.9520833333,7.11875,Brazuelo Canime
4,72,-73.9395833333,7.11458333333,Brazuelo Canime
1,23,-74.13125,8.93958333333,Brazo de Loba
2,24,-74.1354166667,8.93541666667,Brazo de Loba
3,23,-74.1354166667,8.93125,Brazo de Loba
4,24,-74.1354166667,8.92708333333,Brazo de Loba
5,24,-74.1354166667,8.92291666667,Brazo de Loba
6,24,-74.1354166667,8.91875,Brazo de Loba
7,25,-74.1354166667,8.91458333333,Brazo de Loba
8,23,-74.13125,8.91458333333,Brazo de Loba
9,23,-74.1354166667,8.91041666667,Brazo de Loba
10,22,-74.13125,8.91041666667,Brazo de Loba
11,24,-74.1354166667,8.90625,Brazo de Loba
12,22,-74.13125,8.90625,Brazo de Loba
13,23,-74.1354166667,8.90208333333,Brazo de Loba
14,23,-74.13125,8.90208333333,Brazo de Loba
15,18,-74.3895833333,8.89791666667,Brazo de Loba
16,18,-74.3854166667,8.89791666667,Brazo de Loba
17,18,-74.38125,8.89791666667,Brazo de Loba
18,18,-74.3770833333,8.89791666667,Brazo de Loba
19,18,-74.3729166667,8.89791666667,Brazo de Loba
20,22,-74.14375,8.89791666667,Brazo de Loba
21,23,-74.1395833333,8.89791666667,Brazo de Loba
22,23,-74.1354166667,8.89791666667,Brazo de Loba
23,18,-74.3770833333,8.89375,Brazo de Loba
24,17,-74.36875,8.89375,Brazo de Loba
25,23,-74.1520833333,8.89375,Brazo de Loba
26,17,-74.36875,8.88958333333,Brazo de Loba
27,17,-74.3645833333,8.88958333333,Brazo de Loba
28,18,-74.3645833333,8.88541666667,Brazo de Loba
29,18,-74.3604166667,8.88541666667,Brazo de Loba
30,23,-74.15625,8.88541666667,Brazo de Loba
31,18,-74.3604166667,8.88125,Brazo de Loba
32,19,-74.3604166667,8.87708333333,Brazo de Loba
33,23,-74.1645833333,8.87708333333,Brazo de Loba
34,19,-74.3604166667,8.87291666667,Brazo de Loba
35,19,-74.3479166667,8.87291666667,Brazo de Loba
36,19,-74.34375,8.87291666667,Brazo de Loba
37,22,-74.1645833333,8.87291666667,Brazo de Loba
38,19,-74.3395833333,8.86875,Brazo de Loba
39,20,-74.3354166667,8.86458333333,Brazo de Loba
40,19,-74.33125,8.86458333333,Brazo de Loba
41,19,-74.3270833333,8.86041666667,Brazo de Loba
42,20,-74.3229166667,8.85625,Brazo de Loba
43,19,-74.31875,8.85208333333,Brazo de Loba
44,19,-74.3145833333,8.84791666667,Brazo de Loba
45,22,-74.1645833333,8.84791666667,Brazo de Loba
46,19,-74.3145833333,8.84375,Brazo de Loba
47,22,-74.16875,8.84375,Brazo de Loba
48,21,-74.16875,8.83958333333,Brazo de Loba
49,19,-74.3104166667,8.83541666667,Brazo de Loba
